============================================================
ACGM Tree Icon Diagnostics - 2026-07-02 17:27:24
Icon priority: Monarch -> Mule -> Rescue Squad -> PK -> Normal
ID=1; Name='Silver-wolfe'; Level=126; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='monarch'; Reason='PatronId -1 marked this character as the monarch/root'
ID=2; Name='William Ohmsford'; Level=126; RawFlags='0|0|1'; IsMule=False; IsRescueSquad=True; IsPk=False; Icon='rescue'; Reason='IsRescueSquad was true'
ID=3; Name='William Ohms'; Level=87; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=11; Name='Kp'; Level=1; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=12; Name='Afflicted Soul'; Level=1; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=13; Name='Goldenrod'; Level=1; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=14; Name='Ordit'; Level=1; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=15; Name='Turek'; Level=1; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=16; Name='Ghost-wolfe'; Level=62; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=17; Name='Kiai Maji'; Level=82; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=18; Name='Myrde Des Luder'; Level=87; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=19; Name='Shen Po'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
